api_type,frontend_type,backend_tag,frontend_tag,submenu
fine_dining_restaurant,Gastronomique,place_type,Type d'établissement,Pas de submenu
food_court,Buffet,place_type,Type d'établissement,Pas de submenu
meal_delivery,Livraison de Repas,place_type,Type d'établissement,Pas de submenu
meal_takeaway,Vente à Emporter,place_type,Type d'établissement,Pas de submenu
restaurant,Restaurant,place_type,Type d'établissement,Pas de submenu
snack_bar,Snack-Bar,place_type,Type d'établissement,Pas de submenu
fondue_restaurant,Fondue,single_dish_specialist,Spécialité,Plats à partager
hot_pot_restaurant,Fondue Chinoises,single_dish_specialist,Spécialité,Plats à partager
breakfast_restaurant,Petit-Déjeuner,single_dish_specialist,Spécialité,Plats à partager
fusion_restaurant,Fusion,single_dish_specialist,Spécialité,Plats à partager
dim_sum_restaurant,Dim Sum,single_dish_specialist,Spécialité,Plats à partager
dumpling_restaurant,Raviolis,single_dish_specialist,Spécialité,Plats à partager
salad_shop,Salades,single_dish_specialist,Spécialité,Plats à partager
tapas_restaurant,Tapas,single_dish_specialist,Spécialité,Plats à partager
oyster_bar_restaurant,Bar à Huîtres,single_dish_specialist,Spécialité,Poissons et fruits de mer
seafood_restaurant,Fruits de Mer,single_dish_specialist,Spécialité,Poissons et fruits de mer
fish_and_chips_restaurant,Fish and Chips,single_dish_specialist,Spécialité,Poissons et fruits de mer
sushi_restaurant,Sushis,single_dish_specialist,Spécialité,Poissons et fruits de mer
bagel_shop,Bagels,single_dish_specialist,Spécialité,Sandwichs et street food
burrito_restaurant,Burritos,single_dish_specialist,Spécialité,Sandwichs et street food
deli,Épicerie Fine,single_dish_specialist,Spécialité,Sandwichs et street food
falafel_restaurant,Falafels,single_dish_specialist,Spécialité,Sandwichs et street food
gyro_restaurant,Gyros,single_dish_specialist,Spécialité,Sandwichs et street food
hamburger_restaurant,Hamburgers,single_dish_specialist,Spécialité,Sandwichs et street food
hot_dog_restaurant,Hot-Dogs,single_dish_specialist,Spécialité,Sandwichs et street food
hot_dog_stand,Hot-Dogs,single_dish_specialist,Spécialité,Sandwichs et street food
kebab_shop,Kebabs,single_dish_specialist,Spécialité,Sandwichs et street food
pizza_delivery,Pizzas,single_dish_specialist,Spécialité,Sandwichs et street food
pizza_restaurant,Pizzas,single_dish_specialist,Spécialité,Sandwichs et street food
sandwich_shop,Sandwichs,single_dish_specialist,Spécialité,Sandwichs et street food
shawarma_restaurant,Chawarmas,single_dish_specialist,Spécialité,Sandwichs et street food
taco_restaurant,Tacos,single_dish_specialist,Spécialité,Sandwichs et street food
acai_shop,Açaïs,sweet,Spécialité,Sucré
cake_shop,Gâteaux,sweet,Spécialité,Sucré
candy_store,Bonbons,sweet,Spécialité,Sucré
chocolate_factory,Chocolats,sweet,Spécialité,Sucré
chocolate_shop,Chocolats,sweet,Spécialité,Sucré
confectionery,Confiserie,sweet,Spécialité,Sucré
dessert_restaurant,Desserts,sweet,Spécialité,Sucré
dessert_shop,Desserts,sweet,Spécialité,Sucré
donut_shop,Donuts,sweet,Spécialité,Sucré
ice_cream_shop,Glaces,sweet,Spécialité,Sucré
juice_shop,Bar à Jus,sweet,Spécialité,Sucré
pastry_shop,Pâtisseries,sweet,Spécialité,Sucré
